title,authors,year,journal,abstract,keywords,citation
2D materials–based homogeneous transistor-memory architecture for neuromorphic hardware,"Lei Tong, Zhuiri Peng, Runfeng Lin, Zheng Li, Yilun Wang, Xinyu Huang, Kan‐Hao Xue, Hangyu Xu, Feng Liu, Hui Xia, Peng Wang, Mingsheng Xu, Wei Xiong, Weida Hu, Jianbin Xu, Xinliang Zhang, Lei Ye, Xiangshui Miao",2021,,"In neuromorphic hardware, peripheral circuits and memories based on heterogeneous devices are generally physically separated. Thus, exploration of homogeneous devices for these components is key for improving module integration and resistance matching. Inspired by the ferroelectric proximity effect on two-dimensional (2D) materials, we present a tungsten diselenide–on–lithium niobate cascaded architecture as a basic device that functions as a nonlinear transistor, assisting the design of operational amplifiers for analog signal processing (ASP). This device also functions as a nonvolatile memory cell, achieving memory operating (MO) functionality. On the basis of this homogeneous architecture, we also investigated an ASP-MO integrated system for binary classification and the design of ternary content-addressable memory for potential use in neuromorphic hardware.",,313
Experimental demonstration of highly reliable dynamic memristor for artificial neuron and neuromorphic computing,"See‐On Park, Hakcheon Jeong, Jongyong Park, Jongmin Bae, Shinhyun Choi",2022,,"Neuromorphic computing, a computing paradigm inspired by the human brain, enables energy-efficient and fast artificial neural networks. To process information, neuromorphic computing directly mimics the operation of biological neurons in a human brain. To effectively imitate biological neurons with electrical devices, memristor-based artificial neurons attract attention because of their simple structure, energy efficiency, and excellent scalability. However, memristor's non-reliability issues have been one of the main obstacles for the development of memristor-based artificial neurons and neuromorphic computings. Here, we show a memristor 1R cross-bar array without transistor devices for individual memristor access with low variation, 100% yield, large dynamic range, and fast speed for artificial neuron and neuromorphic computing. Based on the developed memristor, we experimentally demonstrate a memristor-based neuron with leaky-integrate and fire property with excellent reliability. Furthermore, we develop a neuro-memristive computing system based on the short-term memory effect of the developed memristor for efficient processing of sequential data. Our neuro-memristive computing system successfully trains and generates bio-medical sequential data (antimicrobial peptides) while using a small number of training parameters. Our results open up the possibility of memristor-based artificial neurons and neuromorphic computing systems, which are essential for energy-efficient edge computing devices.",,301
Photo-induced non-volatile VO2 phase transition for neuromorphic ultraviolet sensors,"Ge Li, Donggang Xie, Hai Zhong, Ziye Zhang, Xingke Fu, Qingli Zhou, Qiang Li, Hao Ni, Jiaou Wang, Er‐Jia Guo, Meng He, Can Wang, Guozhen Yang, Kuijuan Jin, Chen Ge",2022,,"In the quest for emerging in-sensor computing, materials that respond to optical stimuli in conjunction with non-volatile phase transition are highly desired for realizing bioinspired neuromorphic vision components. Here, we report a non-volatile multi-level control of VO<sub>2</sub> films by oxygen stoichiometry engineering under ultraviolet irradiation. Based on the reversible regulation of VO<sub>2</sub> films using ultraviolet irradiation and electrolyte gating, we demonstrate a proof-of-principle neuromorphic ultraviolet sensor with integrated sensing, memory, and processing functions at room temperature, and also prove its silicon compatible potential through the wafer-scale integration of a neuromorphic sensor array. The device displays linear weight update with optical writing because its metallic phase proportion increases almost linearly with the light dosage. Moreover, the artificial neural network consisting of this neuromorphic sensor can extract ultraviolet information from the surrounding environment, and significantly improve the recognition accuracy from 24% to 93%. This work provides a path to design neuromorphic sensors and will facilitate the potential applications in artificial vision systems.",,296
Reconfigurable halide perovskite nanocrystal memristors for neuromorphic computing,"Rohit Abraham John, Yiğit Demirağ, Yevhen Shynkarenko, Yuliia Berezovska, Natacha Ohannessian, Melika Payvand, Peng Zeng, Maryna I. Bodnarchuk, Frank Krumeich, Gökhan Kara, Ivan Shorubalko, Manu V Nair, G. A. Cooke, Thomas Lippert, Giacomo Indiveri, Maksym V. Kovalenko",2022,,"Many in-memory computing frameworks demand electronic devices with specific switching characteristics to achieve the desired level of computational complexity. Existing memristive devices cannot be reconfigured to meet the diverse volatile and non-volatile switching requirements, and hence rely on tailored material designs specific to the targeted application, limiting their universality. ""Reconfigurable memristors"" that combine both ionic diffusive and drift mechanisms could address these limitations, but they remain elusive. Here we present a reconfigurable halide perovskite nanocrystal memristor that achieves on-demand switching between diffusive/volatile and drift/non-volatile modes by controllable electrochemical reactions. Judicious selection of the perovskite nanocrystals and organic capping ligands enable state-of-the-art endurance performances in both modes - volatile (2 × 10<sup>6</sup> cycles) and non-volatile (5.6 × 10<sup>3</sup> cycles). We demonstrate the relevance of such proof-of-concept perovskite devices on a benchmark reservoir network with volatile recurrent and non-volatile readout layers based on 19,900 measurements across 25 dynamically-configured devices.",,273
Flexible Artificial Sensory Systems Based on Neuromorphic Devices,"Fuqin Sun, Qifeng Lu, Simin Feng, Ting Zhang",2021,,"Emerging flexible artificial sensory systems using neuromorphic electronics have been considered as a promising solution for processing massive data with low power consumption. The construction of artificial sensory systems with synaptic devices and sensing elements to mimic complicated sensing and processing in biological systems is a prerequisite for the realization. To realize high-efficiency neuromorphic sensory systems, the development of artificial flexible synapses with low power consumption and high-density integration is essential. Furthermore, the realization of efficient coupling between the sensing element and the synaptic device is crucial. This Review presents recent progress in the area of neuromorphic electronics for flexible artificial sensory systems. We focus on both the recent advances of artificial synapses, including device structures, mechanisms, and functions, and the design of intelligent, flexible perception systems based on synaptic devices. Additionally, key challenges and opportunities related to flexible artificial perception systems are examined, and potential solutions and suggestions are provided.",,264
Neural Coding in Spiking Neural Networks: A Comparative Study for Robust Neuromorphic Systems,"Wenzhe Guo, Mohammed E. Fouda, Ahmed M. Eltawil, K. Saláma",2021,,"Various hypotheses of information representation in brain, referred to as neural codes, have been proposed to explain the information transmission between neurons. Neural coding plays an essential role in enabling the brain-inspired spiking neural networks (SNNs) to perform different tasks. To search for the best coding scheme, we performed an extensive comparative study on the impact and performance of four important neural coding schemes, namely, rate coding, time-to-first spike (TTFS) coding, phase coding, and burst coding. The comparative study was carried out using a biological 2-layer SNN trained with an unsupervised spike-timing-dependent plasticity (STDP) algorithm. Various aspects of network performance were considered, including classification accuracy, processing latency, synaptic operations (SOPs), hardware implementation, network compression efficacy, input and synaptic noise resilience, and synaptic fault tolerance. The classification tasks on Modified National Institute of Standards and Technology (MNIST) and Fashion-MNIST datasets were applied in our study. For hardware implementation, area and power consumption were estimated for these coding schemes, and the network compression efficacy was analyzed using pruning and quantization techniques. Different types of input noise and noise variations in the datasets were considered and applied. Furthermore, the robustness of each coding scheme to the non-ideality-induced synaptic noise and fault in analog neuromorphic systems was studied and compared. Our results show that TTFS coding is the best choice in achieving the highest computational performance with very low hardware implementation overhead. TTFS coding requires 4x/7.5x lower processing latency and 3.5x/6.5x fewer SOPs than rate coding during the training/inference process. Phase coding is the most resilient scheme to input noise. Burst coding offers the highest network compression efficacy and the best overall robustness to hardware non-idealities for both training and inference processes. The study presented in this paper reveals the design space created by the choice of each coding scheme, allowing designers to frame each scheme in terms of its strength and weakness given a designs' constraints and considerations in neuromorphic systems.",,259
Synaptic devices based neuromorphic computing applications in artificial intelligence,"Bai Sun, Tao Guo, Guangdong Zhou, Shubham Ranjan, Yixuan Jiao, Lan Wei, Y. Zhou, Yimin A. Wu",2021,,,,258
Memristive Artificial Synapses for Neuromorphic Computing,"Wen Huang, Xuwen Xia, Chen Zhu, Parker Steichen, Weidong Quan, Weiwei Mao, Jianping Yang, Liang Chu, Xing’ao Li",2021,,"Neuromorphic computing simulates the operation of biological brain function for information processing and can potentially solve the bottleneck of the von Neumann architecture. This computing is realized based on memristive hardware neural networks in which synaptic devices that mimic biological synapses of the brain are the primary units. Mimicking synaptic functions with these devices is critical in neuromorphic systems. In the last decade, electrical and optical signals have been incorporated into the synaptic devices and promoted the simulation of various synaptic functions. In this review, these devices are discussed by categorizing them into electrically stimulated, optically stimulated, and photoelectric synergetic synaptic devices based on stimulation of electrical and optical signals. The working mechanisms of the devices are analyzed in detail. This is followed by a discussion of the progress in mimicking synaptic functions. In addition, existing application scenarios of various synaptic devices are outlined. Furthermore, the performances and future development of the synaptic devices that could be significant for building efficient neuromorphic systems are prospected.",,256
Reconfigurable neuromorphic memristor network for ultralow-power smart textile electronics,"Tianyu Wang, Jialin Meng, Xufeng Zhou, Yue Liu, Zhenyu He, Qi Han, Qingxuan Li, Jiajie Yu, Zhenhai Li, Yongkai Liu, Hao Zhu, Qingqing Sun, David Wei Zhang, Peining Chen, Huisheng Peng, Lin Chen",2022,,"Neuromorphic computing memristors are attractive to construct low-power- consumption electronic textiles due to the intrinsic interwoven architecture and promising applications in wearable electronics. Developing reconfigurable fiber-based memristors is an efficient method to realize electronic textiles that capable of neuromorphic computing function. However, the previously reported artificial synapse and neuron need different materials and configurations, making it difficult to realize multiple functions in a single device. Herein, a textile memristor network of Ag/MoS<sub>2</sub>/HfAlO<sub>x</sub>/carbon nanotube with reconfigurable characteristics was reported, which can achieve both nonvolatile synaptic plasticity and volatile neuron functions. In addition, a single reconfigurable memristor can realize integrate-and-fire function, exhibiting significant advantages in reducing the complexity of neuron circuits. The firing energy consumption of fiber-based memristive neuron is 1.9 fJ/spike (femtojoule-level), which is at least three orders of magnitude lower than that of the reported biological and artificial neuron (picojoule-level). The ultralow energy consumption makes it possible to create an electronic neural network that reduces the energy consumption compared to human brain. By integrating the reconfigurable synapse, neuron and heating resistor, a smart textile system is successfully constructed for warm fabric application, providing a unique functional reconfiguration pathway toward the next-generation in-memory computing textile system.",,231
Photonic multiplexing techniques for neuromorphic computing,"Yunping Bai, Xingyuan Xu, Mengxi Tan, Yang Sun, Yang Li, Jiayang Wu, Roberto Morandotti, Arnan Mitchell, Kun Xu, David Moss",2023,,"The simultaneous advances in artificial neural networks and photonic integration technologies have spurred extensive research in optical computing and optical neural networks (ONNs). The potential to simultaneously exploit multiple physical dimensions of time, wavelength and space give ONNs the ability to achieve computing operations with high parallelism and large-data throughput. Different photonic multiplexing techniques based on these multiple degrees of freedom have enabled ONNs with large-scale interconnectivity and linear computing functions. Here, we review the recent advances of ONNs based on different approaches to photonic multiplexing, and present our outlook on key technologies needed to further advance these photonic multiplexing/hybrid-multiplexing techniques of ONNs.",,230
Plasmonic Optoelectronic Memristor Enabling Fully Light‐Modulated Synaptic Plasticity for Neuromorphic Vision,"Xuanyu Shan, Chenyi Zhao, Xinnong Wang, Zhongqiang Wang, Shencheng Fu, Ya Lin, Tao Zeng, Xiaoning Zhao, Haiyang Xu, Xintong Zhang, Yichun Liu",2021,,"Exploration of optoelectronic memristors with the capability to combine sensing and processing functions is required to promote development of efficient neuromorphic vision. In this work, the authors develop a plasmonic optoelectronic memristor that relies on the effects of localized surface plasmon resonance (LSPR) and optical excitation in an Ag-TiO<sub>2</sub> nanocomposite film. Fully light-induced synaptic plasticity (e.g., potentiation and depression) under visible and ultraviolet light stimulations is demonstrated, which enables the functional combination of visual sensing and low-level image pre-processing (including contrast enhancement and noise reduction) in a single device. Furthermore, the light-gated and electrically-driven synaptic plasticity can be performed in the same device, in which the spike-timing-dependent plasticity (STDP) learning functions can be reversibly modulated by visible and ultraviolet light illuminations. Thereby, the high-level image processing function, i.e., image recognition, can also be performed in this memristor, whose recognition rate and accuracy are obviously enhanced as a result of image pre-processing and light-gated STDP enhancement. Experimental analysis shows that the memristive switching mechanism under optical stimulation can be attributed to the oxidation/reduction of Ag nanoparticles due to the effects of LSPR and optical excitation. The authors' work proposes a new type of plasmonic optoelectronic memristor with fully light-modulated capability that may promote the future development of efficient neuromorphic vision.",,230
Volatile and Nonvolatile Memristive Devices for Neuromorphic Computing,"Guangdong Zhou, Zhongrui Wang, Bai Sun, Feichi Zhou, Linfeng Sun, Hongbin Zhao, Xiaofang Hu, Xiaoyan Peng, Jia Yan, Huamin Wang, Wenhua Wang, Jie Li, Bingtao Yan, Dalong Kuang, Yuchen Wang, Lidan Wang, Shukai Duan",2022,,"Abstract Ion migration as well as electron transfer and coupling in resistive switching materials endow memristors with a physically tunable conductance to resemble synapses, neurons, and their networks. Four different types of volatile memristors and another four types of nonvolatile memristors are systemically surveyed in terms of the switching mechanisms and electrical properties that are the basis of different computing applications. The volatile memristor features spontaneous conductance decay after the cease of electrical/optical stimulations, which are closely related to the surface atom diffusion, metal–insulator–transition (including charge–density–wave), thermal spontaneous emission, and charge polarization. Such unique dynamic state evolution at the edge of chaos has enabled them to emulate certain synaptic and neural dynamics, leading to various applications ranging from spiking neural networks to combinatorial optimizations. Nonvolatile resistive switching behavior originated from the electron spins, ferroelectric polarization, crystalline‐amorphous transitions or interplay between ions and electrons enables the memristor array to implement the vector–matrix multiplication, which is the key convolutional operation in artificial neural networks. The progress, challenges, and opportunities for both volatile and nonvolatile memristor in the level of materials, integration technology, algorithm, and system are highlighted in this review.",,220
A calibratable sensory neuron based on epitaxial VO2 for spike-based neuromorphic multisensory system,"Rui Yuan, Qingxi Duan, Pek Jun Tiw, Ge Li, Zhuojian Xiao, Zhaokun Jing, Yang Ke, Chang Liu, Chen Ge, Ru Huang, Yuchao Yang",2022,,"Neuromorphic perception systems inspired by biology have tremendous potential in efficiently processing multi-sensory signals from the physical world, but a highly efficient hardware element capable of sensing and encoding multiple physical signals is still lacking. Here, we report a spike-based neuromorphic perception system consisting of calibratable artificial sensory neurons based on epitaxial VO<sub>2</sub>, where the high crystalline quality of VO<sub>2</sub> leads to significantly improved cycle-to-cycle uniformity. A calibration resistor is introduced to optimize device-to-device consistency, and to adapt the VO<sub>2</sub> neuron to different sensors with varied resistance level, a scaling resistor is further incorporated, demonstrating cross-sensory neuromorphic perception component that can encode illuminance, temperature, pressure and curvature signals into spikes. These components are utilized to monitor the curvatures of fingers, thereby achieving hand gesture classification. This study addresses the fundamental cycle-to-cycle and device-to-device variation issues of sensory neurons, therefore promoting the construction of neuromorphic perception systems for e-skin and neurorobotics.",,220
An organic artificial spiking neuron for in situ neuromorphic sensing and biointerfacing,"Tanmoy Sarkar, Katharina Lieberth, Aristea Pavlou, Thomas Frank, Volker Mailaender, Iain McCulloch, Paul W. M. Blom, Fabrizio Torricelli, Paschalis Gkoupidenis",2022,,"Abstract The effective mimicry of neurons is key to the development of neuromorphic electronics. However, artificial neurons are not typically capable of operating in biological environments, which limits their ability to interface with biological components and to offer realistic neuronal emulation. Organic artificial neurons based on conventional circuit oscillators have been created, but they require many elements for their implementation. Here we report an organic artificial neuron that is based on a compact nonlinear electrochemical element. The artificial neuron can operate in a liquid and is sensitive to the concentration of biological species (such as dopamine or ions) in its surroundings. The system offers in situ operation and spiking behaviour in biologically relevant environments—including typical physiological and pathological concentration ranges (5–150 mM)—and with ion specificity. Small-amplitude (1–150 mV) electrochemical oscillations and noise in the electrolytic medium shape the neuronal dynamics, whereas changes in ionic (≥2% over the physiological baseline) and biomolecular (≥ 0.1 mM dopamine) concentrations modulate the neuronal excitability. We also create biohybrid interfaces in which an artificial neuron functions synergistically and in real time with epithelial cell biological membranes.",,216
Exploring Neuromorphic Computing Based on Spiking Neural Networks: Algorithms to Hardware,"Nitin Rathi, Indranil Chakraborty, Adarsh Kumar Kosta, Abhronil Sengupta, Aayush Ankit, Priyadarshini Panda, Kaushik Roy",2022,,"Neuromorphic Computing, a concept pioneered in the late 1980s, is receiving a lot of attention lately due to its promise of reducing the computational energy, latency, as well as learning complexity in artificial neural networks. Taking inspiration from neuroscience, this interdisciplinary field performs a multi-stack optimization across devices, circuits, and algorithms by providing an end-to-end approach to achieving brain-like efficiency in machine intelligence. On one side, neuromorphic computing introduces a new algorithmic paradigm, known as Spiking Neural Networks (SNNs), which is a significant shift from standard deep learning and transmits information as spikes (“1” or “0”) rather than analog values. This has opened up novel algorithmic research directions to formulate methods to represent data in spike-trains, develop neuron models that can process information over time, design learning algorithms for event-driven dynamical systems, and engineer network architectures amenable to sparse, asynchronous, event-driven computing to achieve lower power consumption. On the other side, a parallel research thrust focuses on development of efficient computing platforms for new algorithms. Standard accelerators that are amenable to deep learning workloads are not particularly suitable to handle processing across multiple timesteps efficiently. To that effect, researchers have designed neuromorphic hardware that rely on event-driven sparse computations as well as efficient matrix operations. While most large-scale neuromorphic systems have been explored based on CMOS technology, recently, Non-Volatile Memory (NVM) technologies show promise toward implementing bio-mimetic functionalities on single devices. In this article, we outline several strides that neuromorphic computing based on spiking neural networks (SNNs) has taken over the recent past, and we present our outlook on the challenges that this field needs to overcome to make the bio-plausibility route a successful one.",,211
Neuromorphic electronics based on copying and pasting the brain,"Donhee Ham, Hongkun Park, Sungwoo Hwang, Kinam Kim",2021,,,,211
Neuromorphic computing at scale,"Dhireesha Kudithipudi, Catherine D. Schuman, Craig M. Vineyard, Tej Pandit, Cory Merkel, Rajkumar Kubendran, James B. Aimone, Garrick Orchard, Christian Mayr, Ryad Benosman, Joe Hays, Cliff Young, Chiara Bartolozzi, A. Majumdar, Suma Cardwell, Melika Payvand, Sonia Buckley, Shruti Kulkarni, Hector A. Gonzalez, Gert Cauwenberghs, Chetan Singh Thakur, Anand Subramoney, Steve Furber",2025,,,,204
Ferroelectric Transistors for Memory and Neuromorphic Device Applications,"Ik‐Jyae Kim, Jang‐Sik Lee",2022,,"Ferroelectric materials have been intensively investigated for high-performance nonvolatile memory devices in the past decades, owing to their nonvolatile polarization characteristics. Ferroelectric memory devices are expected to exhibit lower power consumption and higher speed than conventional memory devices. However, non-complementary metal-oxide-semiconductor (CMOS) compatibility and degradation due to fatigue of traditional perovskite-based ferroelectric materials have hindered the development of high-density and high-performance ferroelectric memories in the past. The recently developed hafnia-based ferroelectric materials have attracted immense attention in the development of advanced semiconductor devices. Because hafnia is typically used in CMOS processes, it can be directly incorporated into current semiconductor technologies. Additionally, hafnia-based ferroelectrics show high scalability and large coercive fields that are advantageous for high-density memory devices. This review summarizes the recent developments in ferroelectric devices, especially ferroelectric transistors, for next-generation memory and neuromorphic applications. First, the types of ferroelectric memories and their operation mechanisms are reviewed. Then, issues limiting the realization of high-performance ferroelectric transistors and possible solutions are discussed. The experimental demonstration of ferroelectric transistor arrays, including 3D ferroelectric NAND and its operation characteristics, are also reviewed. Finally, challenges and strategies toward the development of next-generation memory and neuromorphic applications based on ferroelectric transistors are outlined.",,202
The BrainScaleS-2 Accelerated Neuromorphic System With Hybrid Plasticity,"Christian Pehle, Sebastian Billaudelle, Benjamin Cramer, Jakob Kaiser, Korbinian Schreiber, Yannik Stradmann, Johannes Weis, Aron Leibfried, Eric Müller, Johannes Schemmel",2022,,"Since the beginning of information processing by electronic components, the nervous system has served as a metaphor for the organization of computational primitives. Brain-inspired computing today encompasses a class of approaches ranging from using novel nano-devices for computation to research into large-scale neuromorphic architectures, such as TrueNorth, SpiNNaker, BrainScaleS, Tianjic, and Loihi. While implementation details differ, spiking neural networks-sometimes referred to as the third generation of neural networks-are the common abstraction used to model computation with such systems. Here we describe the second generation of the BrainScaleS neuromorphic architecture, emphasizing applications enabled by this architecture. It combines a custom analog accelerator core supporting the accelerated physical emulation of bio-inspired spiking neural network primitives with a tightly coupled digital processor and a digital event-routing network.",,200
Recent Progress in Transistor‐Based Optoelectronic Synapses: From Neuromorphic Computing to Artificial Sensory System,"Sung Woon Cho, Sung Min Kwon, Yong‐Hoon Kim, Sung Kyu Park",2021,,"Neuromorphic electronics draw attention as innovative approaches that facilitate hardware implementation of next‐generation artificial intelligent system including neuromorphic in‐memory computing, artificial sensory perception, and humanoid robotics. Among the various neuromorphic devices, optoelectronic synapses are promising neuromorphic devices that use optical means to mimic synaptic plasticity and related functions. Compared with classical neuromorphic chip based on electronic synapses using electrical means, photonic neuromorphic chip using light as input spike signal can be attractive alternative approach for next‐generation artificial intelligent system capable of high density, low power consumption, and low crosstalk. Thus, various optoelectronic synaptic electronics have been developed to overcome the drawback of conventional artificial intelligent system based on electrical synapses. Herein, the recent progresses in transistor‐based optoelectronic synapses for artificial intelligent system and review their device architecture, neuromorphic operational mechanisms, manufacturing methodologies, and advanced applications for artificial intelligent computing and visual perception systems are focused. Finally, the future challenges and research direction in the optoelectronic synaptic research are discussed.",,200
Embodied neuromorphic intelligence,"Chiara Bartolozzi, Giacomo Indiveri, Elisa Donati",2022,,"The design of robots that interact autonomously with the environment and exhibit complex behaviours is an open challenge that can benefit from understanding what makes living beings fit to act in the world. Neuromorphic engineering studies neural computational principles to develop technologies that can provide a computing substrate for building compact and low-power processing systems. We discuss why endowing robots with neuromorphic technologies - from perception to motor control - represents a promising approach for the creation of robots which can seamlessly integrate in society. We present initial attempts in this direction, highlight open challenges, and propose actions required to overcome current limitations.",,197
